iso3c,Source,Value,Unit,Note
NOR,Smolt_production,46.2,GHG_KgCO2e_tLW,"Pelletier et al. 2009, table s7"
NOR,Aquatic_N2O,0.791,GHG_KgCO2e_kgLW,Hu et al 2012
NOR,Smolt_transport,0,GHG_KgCO2e_tLW,"Pelletier et al. 2009, table s7"
NOR,Farm_energy,49.8,GHG_KgCO2e_tLW,"Pelletier et al. 2009, table s7"
GBR,Smolt_production,83.1,GHG_KgCO2e_tLW,"Pelletier et al. 2009, table s7"
GBR,Aquatic_N2O,0.791,GHG_KgCO2e_kgLW,Hu et al 2012
GBR,Smolt_transport,1.1,GHG_KgCO2e_tLW,"Pelletier et al. 2009, table s7"
GBR,Farm_energy,92.3,GHG_KgCO2e_tLW,"Pelletier et al. 2009, table s7"
CAN,Smolt_production,36.1,GHG_KgCO2e_tLW,"Pelletier et al. 2009, table s7"
CAN,Smolt_transport,0.2,GHG_KgCO2e_tLW,"Pelletier et al. 2009, table s7"
CAN,Farm_energy,72.6,GHG_KgCO2e_tLW,"Pelletier et al. 2009, table s7"
CHL,Smolt_production,35.8,GHG_KgCO2e_tLW,"Pelletier et al. 2009, table s7"
CHL,Aquatic_N2O,0.791,GHG_KgCO2e_kgLW,Hu et al 2012
CHL,Smolt_transport,0.3,GHG_KgCO2e_tLW,"Pelletier et al. 2009, table s7"
CHL,Farm_energy,100,GHG_KgCO2e_tLW,"Pelletier et al. 2009, table s7"
Gbl_wgtd_avg,Smolt_production,46.1,GHG_KgCO2e_tLW,"Pelletier et al. 2009, table s7"
Gbl_wgtd_avg,Aquatic_N2O,0.791,GHG_KgCO2e_kgLW,Hu et al 2012
Gbl_wgtd_avg,Smolt_transport,0.2,GHG_KgCO2e_tLW,"Pelletier et al. 2009, table s7"
Gbl_wgtd_avg,Farm_energy,71.7,GHG_KgCO2e_tLW,"Pelletier et al. 2009, table s7"