Year/Scenario,North America,Central and South America,Europe,Africa,North Asia,South Asia,Oceania
1970,0.27,0.47,0.44,0.35,0.39,0.39,0.35
2000,0.43,0.52,0.55,0.4,0.46,0.3,0.34
2030-GO,0.51,0.56,0.57,0.46,0.42,0.34,0.41
2050-GO,0.53,0.56,0.58,0.44,0.42,0.36,0.43
2030-OS,0.49,0.58,0.56,0.47,0.45,0.34,0.41
2050-OS,0.51,0.6,0.57,0.46,0.43,0.35,0.43
2030-TG,0.58,0.57,0.63,0.47,0.45,0.39,0.42
2050-TG,0.62,0.63,0.66,0.45,0.46,0.43,0.43
2030-AM,0.55,0.61,0.62,0.49,0.48,0.4,0.43
2050-AM,0.59,0.63,0.64,0.49,0.46,0.42,0.44