,,,,,,,,,,,,,,,,,
kg/ha,,,CEREALS,,,,OILSEEDS,,,,,,,,,,
,,Total,Wheat,Rice,Maize,Oth Cereals,Soybeans,Oil Palm,Oth Oilseeds,Fiber Crops,Sugar Crops,Roots/Tubers,Fruits,Vegetables,Grassland,Residual,
China,N,126,141,128,125,63,30,107,52,169,251,102,255,187,24,174,
,P2O5,77,84,58,49,38,34,50,39,124,176,55,217,126,29,93,
,K2O,41,40,38,22,13,11,156,7,46,73,18,123,95,12,32,
,N+P+K,244,265,223,196,114,74,312,98,339,499,175,595,408,65,299,
India,N,80,130,112,90,59,25,,72,118,169,58,36,50,0,41,
,P2O5,29,42,38,32,23,25,,24,35,71,28,19,26,0,15,
,K2O,12,9,20,14,8,4,,9,16,43,25,16,17,0,5,
,N+P+K,121,180,171,135,90,53,,105,170,283,111,70,93,0,61,
USA,N,33,83,169,166,102,5,#DIV/0!,70,63,118,234,85,120,5,840,
,P2O5,12,30,41,61,33,22,#DIV/0!,13,24,71,145,23,65,1,85,
,K2O,13,9,37,61,10,35,#DIV/0!,2,32,42,155,94,56,1,193,
,N+P+K,58,122,247,287,145,63,#DIV/0!,86,119,231,534,202,241,7,"1,118",
EU-27,N,84,124,104,98,87,2,#DIV/0!,108,76,119,113,55,114,61,46,
,P2O5,19,22,36,26,18,18,#DIV/0!,23,35,53,58,21,53,8,16,
,K2O,22,19,68,26,19,25,#DIV/0!,28,46,89,108,19,66,13,18,
,N+P+K,125,165,207,151,123,45,#DIV/0!,160,157,261,279,94,232,82,81,
Brazil,N,14,63,78,69,40,9,94,12,127,77,21,53,126,0,119,
,P2O5,17,43,36,37,27,89,35,21,134,28,29,26,181,0,73,
,K2O,20,29,31,40,26,87,137,13,105,80,23,53,157,0,97,
,N+P+K,51,135,145,146,94,185,266,46,366,185,74,132,464,1,288,
Indonesia,N,56,#DIV/0!,86,117,#DIV/0!,24,100,4,18,107,68,142,138,0,18,
,P2O5,25,#DIV/0!,29,35,#DIV/0!,32,68,5,16,36,25,63,62,0,10,
,K2O,33,#DIV/0!,13,18,#DIV/0!,14,167,2,5,80,20,84,66,0,7,
,N+P+K,115,#DIV/0!,128,170,#DIV/0!,71,335,12,39,223,114,290,266,0,35,
Pakistan,N,124,148,172,131,23,0,#DIV/0!,58,201,174,177,162,146,0,138,
,P2O5,36,49,40,34,7,0,#DIV/0!,17,59,38,52,48,43,0,40,
,K2O,1,1,2,1,0,0,#DIV/0!,0,1,2,9,6,2,0,2,
,N+P+K,161,198,214,166,30,0,#DIV/0!,75,262,214,237,216,191,0,180,
Canada,N,73,82,#DIV/0!,164,100,7,#DIV/0!,110,0,130,180,242,136,9,54,
,P2O5,27,26,#DIV/0!,48,32,39,#DIV/0!,35,0,40,52,70,39,0,44,
,K2O,11,11,#DIV/0!,74,12,13,#DIV/0!,6,0,41,52,70,40,0,23,
,N+P+K,112,118,#DIV/0!,286,144,59,#DIV/0!,151,0,212,284,382,215,9,121,
Russia,N,10,25,76,63,14,16,#DIV/0!,12,5,90,7,3,7,1,91,
,P2O5,4,9,31,24,5,9,#DIV/0!,8,11,78,8,3,8,0,38,
,K2O,2,3,9,15,3,5,#DIV/0!,3,6,84,11,2,9,0,22,
,N+P+K,16,38,116,102,22,29,#DIV/0!,23,22,252,26,8,24,1,150,
Vietnam,N,91,#DIV/0!,104,138,0,43,#DIV/0!,51,124,178,38,98,91,0,55,
,P2O5,47,#DIV/0!,57,45,0,48,#DIV/0!,53,32,63,10,53,42,0,33,
,K2O,40,#DIV/0!,45,31,0,41,#DIV/0!,45,28,118,13,51,45,0,33,
,N+P+K,178,#DIV/0!,206,213,0,132,#DIV/0!,149,184,359,61,203,178,0,121,
Malaysia,N,87,#DIV/0!,120,97,#DIV/0!,#DIV/0!,100,0,0,314,98,218,220,0,35,
,P2O5,48,#DIV/0!,60,72,#DIV/0!,#DIV/0!,53,0,0,174,54,241,206,0,20,
,K2O,172,#DIV/0!,90,64,#DIV/0!,#DIV/0!,238,0,0,309,96,69,73,0,41,
,N+P+K,308,#DIV/0!,269,233,#DIV/0!,#DIV/0!,391,0,0,798,249,527,500,0,96,
Australia,N,4,44,110,287,38,0,#DIV/0!,44,205,160,637,131,352,0,120,
,P2O5,2,23,24,87,24,0,#DIV/0!,18,53,48,292,78,203,1,30,
,K2O,1,3,0,0,2,0,#DIV/0!,4,26,93,345,88,188,0,5,
,N+P+K,7,69,134,374,64,0,#DIV/0!,67,284,302,"1,274",297,743,1,156,
Turkey,N,45,80,135,182,55,65,#DIV/0!,50,106,107,174,125,106,0,53,
,P2O5,17,31,41,61,23,50,#DIV/0!,19,33,59,80,38,33,0,25,
,K2O,4,1,16,13,1,27,#DIV/0!,4,6,53,68,24,21,0,5,
,N+P+K,66,112,192,256,80,142,#DIV/0!,73,144,219,323,187,160,0,83,
Thailand,N,66,0,92,75,19,0,51,13,103,62,20,35,191,0,21,
,P2O5,23,0,23,31,7,43,51,8,36,37,18,41,95,0,7,
,K2O,30,0,24,29,9,0,123,10,47,67,33,59,105,0,10,
,N+P+K,119,0,139,134,34,43,225,32,186,166,71,135,391,0,38,
Bangladesh,N,82,47,91,104,0,164,#DIV/0!,25,39,98,103,116,82,0,67,
,P2O5,38,23,31,104,0,164,#DIV/0!,37,22,82,100,105,100,0,34,
,K2O,27,13,22,55,0,167,#DIV/0!,55,16,93,71,63,71,0,23,
,N+P+K,147,83,143,264,0,496,#DIV/0!,117,78,273,273,284,253,0,123,
Mexico,N,15,115,177,126,21,0,139,19,59,128,124,114,121,0,38,
,P2O5,4,15,68,20,3,28,89,4,28,45,50,58,63,0,12,
,K2O,2,4,44,3,0,12,64,1,16,81,60,50,52,0,6,
,N+P+K,21,134,289,149,24,40,293,23,104,255,235,222,235,0,56,
Iran,N,21,42,109,163,46,12,#DIV/0!,78,139,159,234,151,126,2,27,
,P2O5,3,8,16,31,6,19,#DIV/0!,25,34,31,47,20,15,0,3,
,K2O,2,1,4,7,1,12,#DIV/0!,19,12,26,30,19,14,0,1,
,N+P+K,26,51,129,201,54,43,#DIV/0!,122,185,217,311,190,155,2,31,
Belarus,N,79,110,#DIV/0!,"1,025",94,#DIV/0!,#DIV/0!,130,25,162,14,4,12,15,265,
,P2O5,23,36,#DIV/0!,285,34,#DIV/0!,#DIV/0!,35,65,75,9,1,7,0,47,
,K2O,93,118,#DIV/0!,"1,092",122,#DIV/0!,#DIV/0!,126,119,208,23,4,21,16,380,
,N+P+K,196,264,#DIV/0!,"2,402",249,#DIV/0!,#DIV/0!,291,210,445,46,9,40,31,691,
Argentina,N,6,63,14,44,41,3,#DIV/0!,9,6,68,113,72,53,0,128,
,P2O5,4,37,6,25,30,10,#DIV/0!,7,1,3,75,19,35,0,27,
,K2O,1,0,17,0,0,0,#DIV/0!,1,0,3,69,38,64,0,26,
,N+P+K,10,100,38,69,72,14,#DIV/0!,17,6,74,257,129,151,1,181,
Egypt,N,200,167,266,256,68,47,#DIV/0!,160,203,224,180,167,189,#DIV/0!,281,
,P2O5,32,18,18,24,32,30,#DIV/0!,39,43,57,81,37,43,#DIV/0!,69,
,K2O,11,8,0,8,12,0,#DIV/0!,6,12,20,27,17,17,#DIV/0!,20,
,N+P+K,243,194,283,288,111,77,#DIV/0!,205,258,301,288,221,249,#DIV/0!,370,
Japan,N,111,174,73,0,16,35,#DIV/0!,0,0,188,153,246,193,31,518,
,P2O5,100,164,73,0,37,84,#DIV/0!,0,0,169,205,126,176,27,356,
,K2O,79,102,56,0,28,69,#DIV/0!,0,0,97,134,138,147,25,310,
,N+P+K,291,440,202,0,81,189,#DIV/0!,0,0,454,492,510,516,83,"1,184",
Ukraine,N,36,53,116,71,38,20,#DIV/0!,34,0,107,26,24,25,3,104,
,P2O5,6,7,42,10,6,7,#DIV/0!,9,0,39,5,9,7,1,33,
,K2O,7,7,22,10,5,8,#DIV/0!,8,0,61,8,9,8,1,35,
,N+P+K,49,67,180,92,49,34,#DIV/0!,51,0,207,40,43,40,4,172,
South Africa,N,5,43,0,100,33,10,#DIV/0!,16,47,117,149,88,130,0,90,
,P2O5,2,19,0,35,16,16,#DIV/0!,16,27,65,105,30,66,0,65,
,K2O,1,4,0,7,4,9,#DIV/0!,5,18,172,91,77,79,0,36,
,N+P+K,8,65,0,142,52,35,#DIV/0!,37,92,354,345,195,275,1,192,
Uzbekistan,N,22,129,149,165,108,#DIV/0!,#DIV/0!,94,184,#DIV/0!,86,90,130,1,523,
,P2O5,5,26,39,38,23,#DIV/0!,#DIV/0!,16,37,#DIV/0!,44,19,32,0,113,
,K2O,1,3,54,16,4,#DIV/0!,#DIV/0!,3,11,#DIV/0!,6,1,7,0,11,
,N+P+K,28,158,242,219,135,#DIV/0!,#DIV/0!,113,231,#DIV/0!,135,110,170,1,647,
Philippines,N,40,#DIV/0!,71,51,0,0,58,4,0,103,13,44,9,0,73,
,P2O5,8,#DIV/0!,15,8,0,0,36,0,0,31,9,11,4,0,11,
,K2O,10,#DIV/0!,10,4,0,0,89,7,0,49,6,31,4,0,12,
,N+P+K,58,#DIV/0!,96,63,0,0,182,10,0,183,28,86,17,0,97,
New-Zealand,N,40,179,#DIV/0!,198,127,#DIV/0!,#DIV/0!,135,138,#DIV/0!,164,156,238,37,51,
,P2O5,33,149,#DIV/0!,165,105,#DIV/0!,#DIV/0!,112,115,#DIV/0!,136,130,198,31,129,
,K2O,12,55,#DIV/0!,61,39,#DIV/0!,#DIV/0!,41,42,#DIV/0!,151,96,146,11,47,
,N+P+K,85,383,#DIV/0!,425,271,#DIV/0!,#DIV/0!,288,295,#DIV/0!,451,382,582,78,228,
Chile,N,13,144,69,214,74,,,23,21,137,115,87,90,3,391,
,P2O5,8,91,69,74,50,,,12,14,84,180,27,53,3,261,
,K2O,7,24,108,71,14,,,18,11,247,180,96,111,1,95,
,N+P+K,28,259,246,359,138,,,53,47,468,475,209,254,7,747,
Morocco,N,8,29,105,70,21,0,#DIV/0!,7,0,148,87,89,129,0,21,
,P2O5,8,28,56,56,17,0,#DIV/0!,9,0,125,101,89,142,0,27,
,K2O,1,2,7,2,1,0,#DIV/0!,1,0,24,23,33,30,0,1,
,N+P+K,17,59,169,129,39,0,#DIV/0!,17,0,296,211,211,302,0,50,
,,,,,,,,,,,,,,,,,
ROW,N,3,26,34,26,5,5,26,7,49,85,6,45,68,0,10,
,P2O5,1,7,12,8,2,16,13,3,20,41,2,17,29,0,1,
,K2O,1,2,9,5,1,9,34,1,9,61,2,15,25,0,3,
,N+P+K,5,36,54,38,8,30,72,12,77,187,9,77,122,0,14,
,,,,,,,,,,,,,,,,,
World,N,22,85,96,99,31,10,76,42,111,117,35,106,124,1,59,
,P2O5,10,30,35,35,11,38,47,16,46,53,18,69,74,1,21,
,K2O,7,11,23,26,6,35,143,7,22,67,13,49,58,0,18,
,N+P+K,39,126,154,159,48,83,265,65,179,236,67,224,256,2,98,
,,,,,,,,,,,,,,,,,