"forage_fish","inWatson"
"Acanthuridae","yes"
"Acanthurus sohal","yes"
"Alepes djedaba","yes"
"Alosa pseudoharengus","yes"
"Amblygaster sirm",NA
"Ammodytes","yes"
"Ammodytes personatus","yes"
"Ammodytes spp",NA
"Ammodytidae","yes"
"Amphichthys cryptocentrus",NA
"Anchoa nasus",NA
"Anodontostoma chacunda","yes"
"Aphia minuta",NA
"Aplodactylus punctatus",NA
"Apogonidae","yes"
"Archosargus rhomboidalis",NA
"Arctoscopus japonicus","yes"
"Argentina sphyraena","yes"
"Ariomma indica","yes"
"Atherinidae","yes"
"Atule mate","yes"
"Barbourisia rufa",NA
"Batrachoididae","yes"
"Benthosema pterotum","yes"
"Blicca bjoerkna",NA
"Boops boops","yes"
"Boreogadus saida","yes"
"Bothidae","yes"
"Bothus pantherinus","yes"
"Brachydeuterus auritus","yes"
"Brama australis",NA
"Bregmaceros mcclellandi","yes"
"Brevoortia aurea","yes"
"Brevoortia patronus","yes"
"Brevoortia pectinata","yes"
"Brevoortia tyrannus","yes"
"Caesionidae","yes"
"Caproidae","yes"
"Capros aper","yes"
"Caranx rhonchus","yes"
"Centriscops humerosus","yes"
"Centrolabrus exoletus",NA
"Cephalopholis boenak","yes"
"Cephalopholis fulva","yes"
"Cephalopholis hemistiktos","yes"
"Cephalopholis miniata","yes"
"Cetengraulis mysticetus","yes"
"Champsocephalus esox",NA
"Channichthys rhinoceratus","yes"
"Cheilodactylus variegatus","yes"
"Chirocentrus nudus","yes"
"Chlorophthalmidae","yes"
"Chloroscombrus orqueta","yes"
"Citharichthys sordidus","yes"
"Citharidae",NA
"Clupanodon thrissa","yes"
"Clupea harengus","yes"
"Clupea pallasii",NA
"Clupea pallasii pallasii","yes"
"Clupeidae","yes"
"Clupeiformes","yes"
"Clupeoidei",NA
"Clupeoids","yes"
"Clupeonella cultriventris","yes"
"Coelorinchus chilensis",NA
"Cololabis saira","yes"
"Conodon nobilis","yes"
"Coregonus albula","yes"
"Coregonus sardinella","yes"
"Cottidae","yes"
"Crenidens crenidens","yes"
"Ctenolabrus rupestris","yes"
"Cynoglossidae","yes"
"Cynoscion jamaicensis",NA
"Cyttus novaezealandiae",NA
"Decapterus","yes"
"Decapterus macrosoma","yes"
"Decapterus maruadsi","yes"
"Decapterus russelli","yes"
"Decapterus spp",NA
"Dentex angolensis","yes"
"Diapterus auratus",NA
"Dicologlossa cuneata","yes"
"Diplodus annularis","yes"
"Diplodus argenteus",NA
"Drepane africana",NA
"Dussumieria acuta","yes"
"Dussumieria elopsoides","yes"
"Electrona carlsbergi",NA
"Encrasicholina punctifer",NA
"Engraulidae","yes"
"Engraulis anchoita","yes"
"Engraulis encrasicolus","yes"
"Engraulis japonicus","yes"
"Engraulis mordax","yes"
"Engraulis ringens","yes"
"Epinephelus merra","yes"
"Ethmalosa fimbriata","yes"
"Ethmidium maculatum","yes"
"Etmopterus spinax","yes"
"Etrumeus teres",NA
"Etrumeus whiteheadi","yes"
"Eucinostomus melanopterus",NA
"Eutrigla gurnardus","yes"
"Exocoetidae","yes"
"Gadiculus argenteus",NA
"Gasterosteus aculeatus",NA
"Gerreidae","yes"
"Gerres nigri","yes"
"Gerres oblongus",NA
"Gerres oyena","yes"
"Gobiidae","yes"
"Grammoplites suppositus","yes"
"Gymnocephalus cernuus",NA
"Harengula","yes"
"Harengula thrissina",NA
"Harpadon nehereus","yes"
"Hemiramphus balao",NA
"Hemiramphus brasiliensis","yes"
"Herklotsichthys quadrimaculatus","yes"
"Holocentridae","yes"
"Hypoptychus dybowskii","yes"
"Ilisha africana","yes"
"Ilisha elongata","yes"
"Isacia conceptionis","yes"
"Isopisthus parvipinnis",NA
"Konosirus punctatus","yes"
"Labridae","yes"
"Lactarius lactarius","yes"
"Lampanyctodes hectoris","yes"
"Larimichthys polyactis","yes"
"Larimus breviceps",NA
"Latridae","yes"
"Leiognathidae","yes"
"Lepidoperca pulchella","yes"
"Lepidorhombus boscii","yes"
"Lepidotrigla brachyoptera",NA
"Lethrinus borbonicus","yes"
"Lile stolifera",NA
"Limanda limanda","yes"
"Liza klunzingeri","yes"
"Liza saliens","yes"
"Lutjanus quinquelineatus","yes"
"Lutjanus vitta",NA
"Macrodon ancylodon","yes"
"Macroramphosus scolopax","yes"
"Mallotus villosus","yes"
"Maurolicus muelleri","yes"
"Mene maculata","yes"
"Menidia menidia","yes"
"Merluccius productus","yes"
"Micromesistius australis","yes"
"Micromesistius poutassou","yes"
"Monacanthidae","yes"
"Moridae","yes"
"Mugil curema",NA
"Mugil incilis",NA
"Mullidae","yes"
"Mulloidichthys flavolineatus","yes"
"Mullus argentinae","yes"
"Mullus barbatus",NA
"Mullus surmuletus","yes"
"Myctophidae","yes"
"Nematalosa nasus","yes"
"Nemipteridae","yes"
"Nemipterus japonicus","yes"
"Nemipterus randalli","yes"
"Nemipterus virgatus","yes"
"Normanichthys crockeri","yes"
"Oblada melanura","yes"
"Oligoplites refulgens",NA
"Opisthonema libertate","yes"
"Opisthonema oglinum","yes"
"Ostraciidae","yes"
"Pagellus acarne","yes"
"Pagellus bellottii","yes"
"Patagonotothen brevicauda",NA
"Patagonotothen ramsayi","yes"
"Pelates quadrilineatus","yes"
"Pellona ditchela","yes"
"Pennahia anea",NA
"Pennahia argentata","yes"
"Pentanemus quinquarius","yes"
"Peprilus paru","yes"
"Peprilus triacanthus","yes"
"Percarina demidoffi",NA
"Petromyzontidae",NA
"Platycephalidae","yes"
"Pleurogrammus azonus","yes"
"Pleurogrammus monopterygius","yes"
"Pomacanthidae","yes"
"Pomadasys stridens","yes"
"Priacanthus macracanthus","yes"
"Psenopsis anomala","yes"
"Pseudopentaceros wheeleri",NA
"Pseudotolithus elongatus","yes"
"Pterygotrigla picta",NA
"Rastrelliger","yes"
"Rastrelliger brachysoma","yes"
"Rastrelliger kanagurta","yes"
"Regalecus glesne","yes"
"Rhabdosargus haffara","yes"
"Rioraja agassizi",NA
"Sardina pilchardus","yes"
"Sardinella","yes"
"Sardinella aurita","yes"
"Sardinella brasiliensis","yes"
"Sardinella gibbosa","yes"
"Sardinella lemuru","yes"
"Sardinella longiceps","yes"
"Sardinella maderensis","yes"
"Sardinella spp",NA
"Sardinella zunasi","yes"
"Sardinops caeruleus",NA
"Sardinops melanostictus",NA
"Sardinops ocellatus",NA
"Sardinops sagax","yes"
"Scomberoides tol","yes"
"Scorpaenidae","yes"
"Sebastes viviparus","yes"
"Selar crumenophthalmus","yes"
"Selaroides leptolepis","yes"
"Selene peruviana",NA
"Serranus cabrilla","yes"
"Sillaginidae","yes"
"Sillago sihama","yes"
"Soleidae","yes"
"Spicara maena","yes"
"Spicara smaris","yes"
"Spratelloides gracilis","yes"
"Sprattus fuegensis","yes"
"Sprattus sprattus","yes"
"Stephanolepis cirrhifer","yes"
"Stolephorus","yes"
"Strangomera bentincki","yes"
"Stromateidae","yes"
"Stromateus brasiliensis",NA
"Symphodus melops","yes"
"Synagrops japonicus","yes"
"Synodontidae","yes"
"Tautogolabrus adspersus","yes"
"Tenualosa ilisha","yes"
"Tetraodontidae","yes"
"Thyrsitops lepidopoides","yes"
"Trachichthyidae","yes"
"Trachinidae","yes"
"Trachurus","yes"
"Trachurus capensis","yes"
"Trachurus declivis","yes"
"Trachurus japonicus","yes"
"Trachurus lathami","yes"
"Trachurus mediterraneus","yes"
"Trachurus murphyi","yes"
"Trachurus picturatus","yes"
"Trachurus spp",NA
"Trachurus symmetricus","yes"
"Trachurus trachurus","yes"
"Trachurus trecae","yes"
"Triglidae","yes"
"Tripterophycis gilchristi","yes"
"Trisopterus esmarkii","yes"
"Trisopterus luscus","yes"
"Trisopterus minutus","yes"
"Umbrina canosai","yes"
"Uranoscopus scaber",NA
"Urophycis brasiliensis","yes"
"Xyrichtys novacula",NA
"Zoarces viviparus","yes"
